State,Short
A & N ISLANDS,AN
ANDHRA PRADESH,AP
ARUNACHAL PRADESH,AR
ASSAM,AS
BIHAR,BR
CHANDIGARH,CH
CHHATTISGARH,CT
DADRA & NAGAR HAVELI,DN
DAMAN & DIU,DD
DELHI,DL
GOA,GA
GUJARAT,GJ
HARYANA,HR
HIMACHAL PRADESH,HP
JAMMU & KASHMIR,JK
JHARKHAND,JH
KARNATAKA,KA
KERALA,KL
LAKSHADWEEP,LD
MADHYA PRADESH,MP
MAHARASHTRA,MH
MANIPUR,MN
MEGHALAYA,ML
MIZORAM,MZ
NAGALAND,NL
ODISHA,OR
PUDUCHERRY,PY
PUNJAB,PB
RAJASTHAN,RJ
SIKKIM,SK
TAMIL NADU,TN
TELANGANA,TG
TRIPURA,TR
UTTAR PRADESH,UP
UTTARAKHAND,UT
WEST BENGAL,WB
